,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_ATG,SG_APP,SG_OTT,SG_TTG,SG_T,PAR3,PAR4,PAR5,POINTS,TOP 10,1ST,Year
173,Lucas Glover,68,72.233,300.6,64.02,67.00,-1.475,-.265,.469,.335,.539,-.936,3.20,4.12,4.69,129,,,2014
174,Troy Matteson,62,72.237,296.7,53.09,61.97,-.422,-.233,-.417,-.264,-.914,-1.337,3.13,4.13,4.72,238,1,,2014
175,D.A. Points,75,72.239,284.5,62.56,62.71,-.344,-.021,-.308,-.424,-.753,-1.097,3.07,4.12,4.85,206,,,2014
176,Derek Ernst,80,72.593,297.0,64.41,63.52,-.558,-.415,-.694,.312,-.798,-1.356,3.12,4.14,4.72,218,,,2014
0,Jordan Spieth,91,68.938,291.8,62.91,67.87,.571,.471,.618,.494,1.583,2.154,2.99,3.93,4.59,"3,800",15,5,2015
1,Jason Day,75,69.161,313.7,55.94,70.83,.586,.287,.461,.772,1.520,2.106,2.94,3.93,4.55,"2,290",11,5,2015
2,Bubba Watson,71,69.296,315.2,56.55,69.32,.212,-.002,.684,1.194,1.876,2.088,2.98,3.98,4.47,"1,680",10,2,2015
3,Henrik Stenson,63,69.354,296.4,69.91,73.52,.436,.082,1.244,.448,1.774,2.210,3.01,3.96,4.62,"2,307",8,,2015
4,Dustin Johnson,75,69.585,317.7,55.53,67.05,.128,-.212,.579,.960,1.326,1.455,3.06,4.00,4.50,"1,360",11,1,2015
5,Justin Rose,69,69.744,303.5,63.87,70.54,.023,.228,.692,.550,1.471,1.493,3.01,4.00,4.54,"1,235",8,1,2015
6,Zach Johnson,90,69.753,282.6,71.21,68.58,.040,.236,.605,.240,1.081,1.120,3.00,3.98,4.61,"1,450",10,1,2015
7,Willy Wilcox,58,69.804,296.6,68.98,72.53,.322,.058,.144,.662,.863,1.186,2.97,3.96,4.66,649,4,,2015
8,Paul Casey,87,69.806,297.8,64.16,72.36,.014,-.182,.991,.392,1.202,1.216,3.05,3.99,4.58,632,8,,2015
9,Jim Furyk,71,69.845,281.9,69.08,69.79,-.024,.513,1.081,.064,1.658,1.634,3.01,3.99,4.71,304,7,1,2015
10,Brooks Koepka,84,69.861,308.2,57.33,69.48,.421,.052,.200,.407,.660,1.081,3.10,3.99,4.55,414,8,1,2015
11,Hideki Matsuyama,95,69.940,294.5,65.25,69.20,.076,.254,.637,.496,1.388,1.464,3.05,3.96,4.60,558,9,,2015
12,Sergio Garcia,59,69.958,300.0,59.47,67.56,-.022,.157,.468,.442,1.067,1.045,3.04,4.00,4.63,"1,177",4,,2015
13,Matt Kuchar,97,70.040,288.5,63.23,66.55,.316,.479,.202,.136,.817,1.133,3.07,3.99,4.54,530,7,,2015
14,Ryan Palmer,80,70.102,305.2,56.57,66.81,.147,-.072,.529,.356,.813,.960,3.04,4.01,4.67,"1,386",5,,2015
15,Justin Thomas,106,70.105,303.2,58.24,68.92,.042,.188,.385,.352,.926,.968,3.03,4.01,4.49,"1,498",7,,2015
16,Kevin Na,98,70.121,280.1,62.51,64.56,.233,.660,.381,-.329,.711,.944,3.00,4.01,4.65,410,7,,2015
17,Robert Streb,110,70.130,297.1,59.47,69.14,.381,.228,.175,.309,.712,1.093,2.97,4.00,4.65,542,9,1,2015
18,Brandt Snedeker,98,70.158,288.4,60.98,64.97,.588,.344,-.199,-.126,.020,.607,3.04,4.01,4.61,416,8,1,2015
19,Louis Oosthuizen,68,70.160,298.8,59.84,68.28,-.220,.088,.397,.339,.825,.605,3.06,4.00,4.61,176,6,,2015
20,Rickie Fowler,76,70.230,296.8,62.08,65.81,.309,.066,.590,.123,.779,1.088,3.00,4.03,4.59,"1,838",7,2,2015
21,Jason Bohn,95,70.235,277.1,71.58,68.89,.239,-.042,.561,.019,.538,.777,3.00,3.97,4.66,"1,373",6,,2015
22,Harris English,105,70.235,298.4,58.51,67.05,.560,.000,.207,.009,.217,.777,3.03,4.01,4.61,360,3,,2015
23,Jimmy Walker,89,70.268,301.6,52.23,66.09,.692,.068,.334,-.161,.241,.933,3.04,4.03,4.56,558,6,2,2015
24,Tony Finau,106,70.281,309.0,54.30,67.61,-.006,.027,.224,.383,.634,.628,3.02,4.01,4.62,"1,293",5,,2015
25,Patrick Reed,103,70.292,292.9,54.78,64.42,.394,.273,.263,-.071,.465,.859,3.03,4.00,4.61,656,4,1,2015
26,Webb Simpson,81,70.310,289.4,67.85,67.81,-.646,.539,.582,.225,1.346,.700,2.98,4.05,4.54,"1,213",5,,2015
27,Kevin Kisner,104,70.344,287.8,66.85,66.24,.240,-.068,.141,.316,.389,.628,3.03,4.02,4.61,444,6,,2015
28,Jerry Kelly,79,70.383,277.2,70.45,65.96,.250,.166,-.052,.073,.186,.436,2.97,4.01,4.65,966,4,,2015
29,Daniel Summerhays,101,70.397,284.0,61.79,65.62,.644,-.186,.194,-.111,-.103,.541,3.03,4.00,4.67,"1,501",5,,2015
30,Danny Lee,120,70.398,283.1,63.92,65.69,.374,-.062,.718,-.301,.354,.729,2.97,4.01,4.68,"1,123",8,1,2015
31,Brendan Steele,88,70.413,302.9,61.13,68.52,-.047,.041,.600,.363,1.005,.958,3.06,3.99,4.61,"1,204",4,,2015
32,Russell Knox,96,70.421,284.4,67.76,70.83,-.021,.107,.622,.098,.827,.806,3.02,3.98,4.72,"1,435",3,,2015
33,Ian Poulter,68,70.421,286.7,63.58,65.71,.225,.147,.235,-.054,.329,.554,3.10,4.02,4.67,981,4,,2015
34,Shawn Stefani,94,70.421,296.3,62.06,68.79,.074,-.192,.283,.332,.423,.497,3.03,4.01,4.60,"1,171",3,,2015
35,Rory Sabbatini,81,70.435,290.0,60.30,67.83,-.106,.097,.375,.094,.567,.461,3.05,3.99,4.63,"1,064",4,,2015
36,Keegan Bradley,87,70.450,306.1,64.85,67.53,-.070,.263,.389,.436,1.088,1.018,3.05,4.03,4.58,"1,103",3,,2015
37,Adam Scott,51,70.456,311.6,60.69,69.62,-.396,-.195,.114,.682,.601,.206,3.14,4.04,4.58,585,3,,2015
38,Francesco Molinari,56,70.458,281.6,76.88,71.07,-.255,-.037,.572,.324,.859,.604,3.11,4.01,4.64,558,2,,2015
39,George McNeill,93,70.478,286.2,64.10,66.43,.212,-.071,.645,-.223,.351,.563,3.02,4.02,4.65,"1,086",1,,2015
40,Lee Westwood,56,70.484,300.0,59.70,66.45,.595,-.102,.292,.094,.283,.879,3.07,4.02,4.77,576,1,,2015
41,Brendon Todd,96,70.533,276.4,70.24,65.47,.582,.280,.136,-.168,.248,.830,3.01,4.02,4.67,"1,279",4,,2015
42,Luke Donald,71,70.555,277.0,59.28,65.57,.289,.514,.573,-.793,.295,.584,3.04,4.05,4.69,782,2,,2015
43,Marc Leishman,74,70.569,294.8,54.99,65.62,-.020,.102,.199,.021,.322,.302,3.04,4.04,4.66,854,4,,2015
44,Daniel Berger,97,70.581,302.1,60.74,68.84,-.193,-.217,.526,.372,.682,.489,3.03,4.02,4.58,878,6,,2015
45,Russell Henley,87,70.581,297.1,64.39,67.06,.579,-.191,-.269,.343,-.116,.462,3.04,4.02,4.65,"1,072",4,,2015
46,J.B. Holmes,89,70.581,309.9,54.05,63.66,-.004,.268,.253,.427,.949,.944,3.07,4.02,4.59,618,7,1,2015
47,Phil Mickelson,70,70.585,300.5,55.98,61.51,.262,.225,.022,.072,.319,.581,3.09,4.05,4.58,"1,091",3,,2015
48,Chad Campbell,97,70.604,285.2,65.75,68.61,-.045,.159,.192,.130,.482,.437,2.99,4.05,4.61,670,2,,2015
49,Charley Hoffman,97,70.613,298.9,58.01,66.19,.065,-.338,.137,.470,.269,.335,3.09,4.01,4.62,992,7,1,2015
50,Patrick Rodgers,57,70.619,307.7,56.97,66.77,-.003,-.090,-.456,.680,.133,.129,3.07,4.01,4.62,,2,,2015
51,Jason Dufner,76,70.633,286.7,67.81,69.03,-.700,.281,.399,.242,.922,.222,3.11,4.03,4.66,730,2,,2015
52,Brendon de Jonge,106,70.642,285.3,65.69,67.51,-.007,-.152,.196,.276,.320,.312,3.00,4.02,4.68,"1,228",3,,2015
53,Brian Harman,90,70.647,287.9,64.37,66.67,.236,.030,-.176,.322,.177,.413,3.07,4.02,4.65,"1,135",3,,2015
54,William McGirt,103,70.647,280.4,67.87,67.85,.060,.248,.060,.087,.395,.455,3.03,4.01,4.66,955,1,,2015
55,Jason Kokrak,88,70.654,305.6,56.41,67.30,-.012,-.144,-.014,.464,.306,.293,3.08,4.03,4.59,614,2,,2015
56,Pat Perez,96,70.666,284.6,65.70,67.88,.364,.045,.187,-.010,.222,.586,3.05,3.99,4.64,"1,287",2,,2015
57,Kevin Chappell,86,70.672,293.5,63.86,66.02,.168,.148,-.105,.160,.202,.370,3.08,4.02,4.63,"1,186",2,,2015
58,Bill Haas,89,70.672,290.7,63.35,68.80,-.229,.126,.422,.140,.689,.460,3.08,4.02,4.64,380,5,1,2015
59,Nick Watney,91,70.680,294.0,61.08,67.34,-.403,.112,.238,.310,.661,.258,3.07,4.01,4.66,"1,135",3,,2015
60,Chad Collins,79,70.681,278.4,63.82,66.10,.012,.205,.246,-.250,.201,.214,3.01,4.02,4.64,504,1,,2015
61,Scott Piercy,90,70.688,296.7,59.30,66.73,.006,-.172,.224,.270,.322,.329,2.99,4.04,4.62,432,5,1,2015
62,Colt Knost,90,70.698,276.6,71.24,67.44,.348,-.085,.017,-.084,-.152,.196,3.02,4.01,4.66,714,4,,2015
63,Zac Blair,108,70.714,273.1,67.91,65.54,.527,.131,-.188,-.299,-.356,.171,3.02,4.02,4.67,"1,126",2,,2015
64,Jim Herman,88,70.719,293.8,67.10,73.23,-.030,-.345,.285,.467,.407,.376,3.00,4.02,4.65,840,2,,2015
65,Graham DeLaet,65,70.720,298.7,65.46,69.15,-.012,-.056,.328,.027,.299,.287,2.98,4.06,4.58,545,3,,2015
66,Hudson Swafford,97,70.732,298.9,63.34,68.54,.360,-.404,.109,.273,-.022,.338,3.05,4.02,4.61,776,1,,2015
67,John Peterson,84,70.735,288.1,67.52,68.32,-.184,-.175,.276,.333,.435,.251,3.06,4.01,4.66,588,,,2015
68,Vijay Singh,78,70.761,290.6,60.06,66.24,-.511,.241,.420,.152,.812,.302,3.03,4.05,4.61,508,1,,2015
69,Martin Laird,77,70.772,300.5,58.54,66.31,.100,-.019,.302,-.078,.206,.306,3.02,4.03,4.67,628,3,,2015
70,Stewart Cink,77,70.774,293.6,57.35,72.94,.102,-.282,.561,.087,.367,.468,3.05,4.01,4.65,612,1,,2015
71,Boo Weekley,79,70.775,292.0,63.27,67.72,-.246,.015,.108,.548,.671,.425,3.06,4.03,4.62,830,6,,2015
72,Bryce Molder,91,70.779,277.9,66.80,65.45,.508,.156,-.181,-.294,-.319,.189,3.03,4.00,4.75,875,2,,2015
73,Scott Brown,97,70.797,288.2,62.77,65.18,-.031,-.111,.031,.296,.216,.185,3.02,4.03,4.66,696,3,,2015
74,David Lingmerth,90,70.800,289.5,65.51,64.94,.039,-.025,.013,.379,.366,.405,3.05,4.02,4.64,"1,387",4,1,2015
75,Johnson Wagner,68,70.807,290.7,62.11,68.95,.203,-.201,.106,-.013,-.108,.095,2.97,4.04,4.67,733,3,,2015
76,Tom Hoge,83,70.812,292.2,58.84,66.03,.005,-.080,.456,.035,.410,.415,3.05,4.02,4.65,441,2,,2015
77,Matt Jones,89,70.812,296.0,59.70,64.05,.401,.333,-.319,.249,.263,.664,3.05,4.02,4.59,"1,445",4,,2015
78,Ryan Moore,81,70.829,282.6,70.05,65.24,.160,.102,.246,.071,.418,.578,3.03,4.03,4.64,"1,374",4,1,2015
79,Jonathan Byrd,69,70.830,287.5,65.60,67.35,.084,.596,-.303,-.145,.148,.232,3.00,4.01,4.69,335,,,2015
80,Steven Bowditch,103,70.835,302.1,54.04,63.43,.144,.253,.056,-.053,.256,.400,3.04,4.01,4.65,454,2,1,2015
81,Jeff Overton,94,70.836,284.8,58.87,65.70,.105,-.018,.041,-.036,-.014,.091,3.02,4.05,4.68,464,1,,2015
82,Spencer Levin,99,70.837,283.7,69.09,68.27,-.065,-.250,.181,.204,.135,.070,3.05,4.01,4.74,764,1,,2015
83,David Hearn,97,70.843,280.6,64.16,67.98,.358,-.029,.243,-.216,-.002,.356,3.02,4.01,4.73,"1,152",4,,2015
84,Jon Curran,83,70.849,273.5,67.46,66.39,-.028,.270,.077,-.406,-.059,-.088,3.03,4.03,4.72,540,5,,2015
85,Kyle Reifers,96,70.854,288.0,61.59,67.03,.036,.076,-.084,.108,.101,.136,3.03,4.03,4.68,804,2,,2015
86,Carl Pettersson,106,70.866,291.6,59.05,63.00,.335,-.097,.035,-.038,-.099,.236,3.07,4.02,4.67,809,3,,2015
87,Charles Howell III,105,70.872,302.7,52.43,68.57,-.216,.059,.199,.340,.599,.383,3.05,4.04,4.60,792,3,,2015
88,James Hahn,94,70.896,295.1,59.89,66.13,.048,.065,.135,.106,.307,.355,3.03,4.04,4.67,"1,202",2,1,2015
89,Martin Flores,95,70.919,296.8,56.83,68.32,-.216,.047,-.142,.349,.255,.038,3.05,4.04,4.65,345,,,2015
90,Cameron Tringale,96,70.920,281.8,68.50,64.58,.125,.373,-.054,-.074,.244,.369,3.03,4.06,4.66,"1,390",3,,2015
91,Ben Martin,93,70.950,288.1,65.09,68.70,.127,-.100,.268,-.016,.153,.280,3.03,4.03,4.71,"1,417",5,1,2015
92,Chris Kirk,76,70.959,285.8,61.97,64.54,.065,.198,.302,-.150,.350,.414,3.06,4.04,4.64,"1,291",3,1,2015
93,Gary Woodland,81,70.982,305.5,56.21,66.74,.077,-.284,.227,.177,.121,.198,3.08,4.06,4.67,"1,300",4,,2015
94,Morgan Hoffmann,85,70.988,296.1,54.83,61.11,.232,.343,-.347,-.032,-.035,.196,3.12,4.04,4.62,749,2,,2015
95,Mark Wilson,89,70.991,279.2,64.53,67.84,-.065,.377,.013,-.299,.092,.026,3.03,4.03,4.73,681,3,,2015
96,Adam Hadwin,95,71.021,288.2,65.43,66.55,.235,.044,-.183,.088,-.051,.183,3.05,4.04,4.68,584,3,,2015
97,Sean O'Hair,86,71.030,295.3,60.74,64.34,.169,.142,-.284,.153,.012,.180,3.06,3.99,4.75,"1,293",3,,2015
98,Scott Langley,94,71.032,280.5,61.90,64.67,.018,.180,.056,-.128,.108,.126,3.06,4.05,4.63,448,,,2015
99,Sangmoon Bae,98,71.036,289.8,60.03,62.93,.260,-.176,-.276,.251,-.201,.059,3.02,4.06,4.70,390,5,1,2015
100,John Huh,102,71.037,279.8,69.44,64.85,.279,-.030,-.120,-.041,-.191,.088,3.03,4.04,4.68,565,,,2015
101,Cameron Percy,72,71.039,290.0,60.31,67.78,-.142,.037,-.002,.128,.163,.020,3.03,4.03,4.66,361,1,,2015
102,Billy Hurley III,83,71.043,271.9,65.91,65.26,.311,.098,.114,-.635,-.423,-.112,2.98,4.04,4.79,420,1,,2015
103,Billy Horschel,99,71.050,295.0,63.77,69.33,.244,-.301,.137,.366,.202,.446,3.09,4.02,4.66,"1,051",2,,2015
104,Camilo Villegas,83,71.067,292.2,54.12,63.05,.195,.143,.133,-.296,-.019,.176,3.06,4.07,4.67,757,,,2015
105,Steve Wheatcroft,87,71.072,288.3,63.03,64.59,.345,-.082,-.450,.148,-.383,-.038,3.05,4.03,4.65,536,2,,2015
106,Alex Prugh,84,71.089,295.2,62.03,70.14,-.055,-.183,-.085,.319,.051,-.004,3.03,4.06,4.61,433,2,,2015
107,John Senden,80,71.090,290.2,66.60,67.26,-.061,-.017,-.171,.331,.142,.082,3.06,4.06,4.65,848,3,,2015
108,David Toms,62,71.092,270.0,74.50,64.66,-.102,.248,-.028,-.041,.178,.076,3.00,4.02,4.79,383,2,,2015
109,Charl Schwartzel,67,71.093,300.4,60.81,64.99,-.555,.092,-.132,.669,.629,.073,3.13,4.07,4.64,584,3,,2015
110,Steven Alker,62,71.094,278.3,71.41,66.57,-.146,.406,-.114,-.129,.163,.017,3.00,4.03,4.67,216,,,2015
111,Whee Kim,71,71.097,282.4,60.40,68.20,-.093,-.043,.324,-.201,.081,-.013,3.00,4.01,4.72,393,2,,2015
112,Carlos Ortiz,100,71.098,298.4,59.84,66.84,.172,-.166,-.238,.355,-.048,.124,3.08,4.06,4.56,711,1,,2015
113,Jamie Donaldson,50,71.102,294.9,60.09,63.83,.349,.046,-.150,.095,-.008,.341,3.21,4.08,4.57,447,2,,2015
114,Scott Pinckney,88,71.103,290.3,60.95,67.61,.294,-.140,-.409,.123,-.426,-.131,3.07,4.04,4.68,761,3,,2015
115,Alex Cejka,94,71.117,283.3,63.78,65.70,-.232,.135,.113,-.233,.015,-.217,3.04,4.03,4.67,859,1,1,2015
116,Hunter Mahan,88,71.124,295.1,58.91,65.79,.390,.003,-.249,-.023,-.270,.120,3.14,4.01,4.67,"1,208",4,,2015
117,Blayne Barber,76,71.127,288.6,63.72,66.44,.313,-.154,-.352,.208,-.297,.015,3.11,4.02,4.66,380,4,,2015
118,Chez Reavie,56,71.146,286.3,71.89,69.64,-.262,-.340,.298,.384,.342,.080,3.06,4.03,4.69,268,,,2015
119,Michael Putnam,87,71.156,288.8,61.47,70.13,-.526,-.022,.420,-.025,.373,-.153,3.01,4.06,4.68,407,,,2015
120,Chris Stroud,84,71.194,283.0,64.22,65.67,-.176,.295,.132,-.249,.178,.002,2.98,4.04,4.75,531,2,,2015
121,FabiÃ¡n GÃ³mez,83,71.207,283.2,60.88,63.52,.062,-.113,-.057,-.216,-.386,-.324,3.03,4.06,4.71,"1,069",2,1,2015
122,Luke Guthrie,84,71.211,283.9,58.86,63.75,.110,.147,.020,-.314,-.147,-.037,3.03,4.04,4.77,373,1,,2015
123,Aaron Baddeley,76,71.218,294.1,50.29,62.46,.722,.370,-.719,-.596,-.945,-.223,2.99,4.10,4.57,336,1,,2015
124,Mark Hubbard,79,71.227,278.5,66.32,66.81,-.102,.128,-.350,-.060,-.281,-.383,3.01,4.06,4.62,274,,,2015
125,Erik Compton,86,71.228,288.4,59.31,63.18,.469,.047,-.217,-.216,-.385,.084,3.03,4.04,4.70,471,1,,2015
126,Michael Thompson,83,71.230,289.3,58.24,65.43,.153,.041,-.301,-.089,-.349,-.195,3.05,4.07,4.66,378,1,,2015
127,Jonas Blixt,78,71.238,287.6,60.26,62.71,.122,.209,-.655,-.115,-.562,-.440,3.08,4.05,4.65,471,1,,2015
128,Ryo Ishikawa,90,71.246,289.2,56.39,66.41,-.103,.025,.436,-.408,.052,-.051,3.08,4.04,4.67,476,2,,2015
129,Jason Gore,76,71.273,290.4,66.67,67.52,-.067,-.393,.266,.284,.157,.089,3.02,4.04,4.72,712,2,,2015
130,Kevin Streelman,95,71.282,289.5,68.63,68.99,-.219,-.216,.005,.563,.352,.133,3.05,4.02,4.70,840,2,,2015
131,Davis Love III,51,71.289,294.7,64.94,67.43,-.347,.116,-.335,.189,-.031,-.377,3.08,4.05,4.74,735,2,1,2015
132,Lucas Glover,79,71.291,296.9,63.82,70.46,-1.351,-.111,.691,.591,1.170,-.181,3.07,4.07,4.66,375,,,2015
133,Ken Duke,93,71.306,278.1,67.91,64.17,-.222,-.248,.025,.067,-.156,-.378,3.10,4.05,4.68,523,3,,2015
134,Jhonattan Vegas,90,71.326,299.9,56.01,65.44,.086,-.212,-.314,.173,-.353,-.267,3.08,4.06,4.65,353,,,2015
135,Roberto Castro,54,71.334,279.8,65.76,66.11,-.732,.187,.347,.079,.612,-.120,3.08,4.08,4.65,167,,,2015
136,J.J. Henry,94,71.334,292.3,60.29,69.88,-.414,.127,-.088,.066,.105,-.308,3.04,4.06,4.67,716,1,1,2015
137,John Merrick,78,71.334,285.0,68.32,67.64,-.775,.006,.358,.056,.420,-.356,3.09,4.05,4.67,311,,,2015
138,Brian Stuard,97,71.341,276.5,69.31,63.20,.116,-.052,-.200,-.103,-.356,-.240,3.08,4.03,4.74,447,1,,2015
139,Greg Chalmers,58,71.363,281.5,62.17,63.79,.529,-.028,-.782,-.323,-1.133,-.605,3.04,4.04,4.73,242,,,2015
140,K.J. Choi,66,71.372,276.5,64.09,63.80,.415,.210,.153,-.522,-.159,.256,3.06,4.03,4.72,358,,,2015
141,Nicholas Thompson,90,71.396,286.0,68.70,68.60,-.493,-.450,-.139,.370,-.219,-.712,3.05,4.05,4.76,442,1,,2015
142,Andres Gonzales,90,71.427,294.5,58.06,66.67,.177,.022,-.349,-.386,-.714,-.537,3.08,4.05,4.70,531,3,,2015
143,Andres Romero,69,71.427,295.3,52.67,61.70,.190,-.073,-.221,-.269,-.563,-.374,3.10,4.10,4.69,312,2,,2015
144,Derek Fathauer,81,71.431,288.8,51.63,61.33,.301,.179,-.198,-.455,-.474,-.173,3.09,4.06,4.69,263,1,,2015
145,Derek Ernst,75,71.453,295.1,64.30,66.51,-.516,-.144,-.547,.676,-.015,-.531,3.15,4.06,4.66,250,,,2015
146,Brice Garnett,81,71.453,287.1,61.25,68.28,-.089,.082,-.327,-.198,-.443,-.532,3.03,4.06,4.75,398,1,,2015
147,Troy Merritt,91,71.458,285.2,62.83,63.37,.384,-.054,-.199,-.326,-.579,-.195,3.04,4.03,4.81,"1,148",3,1,2015
148,Seung-Yul Noh,65,71.465,292.7,54.87,65.90,.066,.188,.147,-.555,-.220,-.154,3.11,4.05,4.66,432,1,,2015
149,Sung Joon Park,79,71.469,283.7,65.73,64.72,-.421,.055,-.326,.104,-.167,-.588,3.03,4.09,4.70,426,1,,2015
150,Bo Van Pelt,81,71.497,289.5,60.73,66.88,.118,-.126,.054,-.296,-.368,-.250,3.03,4.07,4.73,322,2,,2015
151,Gonzalo Fernandez-CastaÃ±o,81,71.500,289.3,60.97,63.92,-.522,.183,-.495,.187,-.125,-.646,3.05,4.07,4.72,272,,,2015
152,Greg Owen,58,71.512,293.8,59.63,69.25,-.798,.129,.407,.036,.572,-.226,3.12,4.01,4.73,608,2,,2015
153,Justin Leonard,61,71.517,271.6,71.70,62.57,.231,.166,-.224,-.486,-.544,-.313,3.07,4.06,4.72,188,,,2015
154,Geoff Ogilvy,50,71.559,293.7,59.59,66.55,-.692,.039,.082,.138,.260,-.432,3.10,4.08,4.71,350,1,,2015
155,Jonathan Randolph,72,71.606,287.2,55.19,64.37,.132,-.208,-.234,-.408,-.850,-.718,3.08,4.06,4.66,209,,,2015
156,Ricky Barnes,82,71.647,283.3,54.10,60.47,.159,.336,-.072,-.819,-.555,-.396,3.02,4.09,4.72,347,1,,2015
157,Brian Davis,86,71.656,275.5,67.66,62.26,.081,.029,-.503,-.119,-.593,-.512,3.09,4.06,4.74,387,2,,2015
158,Retief Goosen,81,71.667,292.6,56.57,62.19,.027,-.039,-.056,-.271,-.365,-.338,3.02,4.09,4.72,519,3,,2015
159,Sam Saunders,83,71.668,293.2,64.00,65.23,-.136,-.372,-.294,.307,-.360,-.496,3.06,4.08,4.64,413,1,,2015
160,Tyrone Van Aswegen,58,71.684,285.6,53.39,66.77,-.152,.181,.471,-1.081,-.428,-.580,2.99,4.07,4.76,142,,,2015
161,D.A. Points,72,71.701,280.8,56.37,64.29,-.054,.199,.224,-.820,-.396,-.451,3.11,4.07,4.70,244,,,2015
162,Nick Taylor,91,71.716,292.3,56.05,64.41,.112,-.185,-.224,-.080,-.489,-.377,3.02,4.07,4.67,613,1,1,2015
163,Ãngel Cabrera,53,71.734,299.7,55.90,64.88,-.572,-.428,.336,.060,-.032,-.604,3.11,4.11,4.60,208,,,2015
164,Max Homa,78,71.763,294.2,56.45,62.99,-.110,-.218,-.467,.066,-.619,-.729,3.04,4.09,4.71,278,1,,2015
165,Robert Garrigus,70,71.774,301.7,56.72,63.97,-.697,-.217,-.318,.345,-.189,-.887,3.09,4.12,4.65,226,,,2015
166,Bill Lunde,50,71.796,287.7,63.59,68.72,-.520,-.242,-.592,.110,-.724,-1.244,3.04,4.06,4.75,117,,,2015
167,Chesson Hadley,101,71.798,290.7,56.87,63.59,.168,-.227,-.218,-.080,-.525,-.357,3.05,4.08,4.70,630,3,,2015
168,Byron Smith,59,71.801,291.9,58.15,68.89,-.597,-.042,-.149,-.085,-.276,-.873,2.97,4.09,4.71,96,,,2015
169,Ernie Els,57,71.830,291.7,56.79,64.52,-.609,.102,.192,-.285,.009,-.600,3.09,4.11,4.66,233,,,2015
170,Tim Wilkinson,73,71.944,279.1,63.09,62.44,-.278,.280,-.523,-.326,-.569,-.847,3.10,4.08,4.71,183,,,2015
171,Padraig Harrington,60,71.950,290.5,51.72,61.02,-.493,.336,-.165,-.434,-.263,-.756,3.10,4.11,4.76,610,1,1,2015
172,Scott Stallings,60,71.961,291.8,57.74,65.00,-.392,-.052,-.053,-.061,-.166,-.558,3.08,4.08,4.71,447,1,,2015
173,Ben Crane,62,71.975,271.0,67.49,63.22,.201,.030,-.486,-.303,-.759,-.558,3.06,4.07,4.74,182,,,2015
174,Eric Axley,57,71.977,286.4,55.54,61.21,.150,-.189,-.372,-.541,-1.101,-.952,3.03,4.08,4.78,152,,,2015
175,Charlie Beljan,76,72.010,309.8,62.61,65.51,-.799,-.424,-.293,.583,-.134,-.933,3.15,4.12,4.61,369,1,,2015
176,Oscar Fraustro,58,72.080,289.5,61.78,63.17,-.283,-.655,-.637,.259,-1.034,-1.316,3.10,4.08,4.73,171,1,,2015
177,Robert Allenby,63,72.102,282.7,63.06,66.67,-.754,-.213,.260,-.262,-.215,-.970,3.09,4.10,4.84,169,1,,2015
178,Andrew Svoboda,80,72.119,287.1,59.32,63.60,-.026,-.460,-.410,-.171,-1.041,-1.067,3.05,4.13,4.72,266,1,,2015
179,Andrew Putnam,68,72.278,278.7,54.98,59.90,.525,.113,-.132,-1.411,-1.430,-.905,3.03,4.12,4.77,192,,,2015
180,Heath Slocum,57,72.362,275.8,69.51,62.79,-.594,.018,-.759,-.229,-.970,-1.564,3.10,4.10,4.71,62,,,2015
181,Matt Every,73,72.419,286.6,51.52,58.10,.075,-.044,-.074,-.925,-1.043,-.968,3.17,4.13,4.78,727,1,1,2015
182,Jim Renner,68,72.431,283.3,57.44,65.24,-.995,-.038,.085,-.501,-.454,-1.449,3.07,4.13,4.77,63,,,2015
183,Roger Sloan,56,72.533,293.6,59.45,63.14,-.502,-.190,-.746,-.168,-1.103,-1.605,3.07,4.11,4.75,103,,,2015
0,Dustin Johnson,87,69.172,313.6,57.17,67.82,.328,.070,.477,1.117,1.664,1.993,3.01,3.97,4.54,"2,380",15,3,2016
1,Jason Day,76,69.313,304.2,50.46,67.23,1.130,.375,.426,.186,.987,2.118,3.00,3.99,4.51,"1,440",10,3,2016
2,Adam Scott,79,69.470,304.6,55.55,70.76,-.168,.049,1.491,.522,2.062,1.894,3.00,4.00,4.58,"1,930",9,2,2016
3,Jordan Spieth,80,69.520,295.4,58.14,63.52,.758,.264,.145,.402,.811,1.569,3.06,3.98,4.54,"1,168",8,2,2016
4,Phil Mickelson,75,69.582,294.8,54.82,66.05,.565,.218,.726,-.145,.799,1.364,2.93,4.04,4.59,548,6,,2016
5,Rory McIlroy,69,69.646,306.8,61.06,69.62,-.207,.211,.447,1.230,1.888,1.681,3.09,4.00,4.46,"3,120",8,2,2016
6,Matt Kuchar,100,69.844,285.8,65.67,67.82,.381,.242,.326,.364,.932,1.314,3.06,4.00,4.60,526,10,,2016
7,Paul Casey,77,69.950,295.2,64.67,70.80,.112,.150,.616,.494,1.260,1.372,3.03,4.01,4.64,"1,880",7,,2016
8,Brooks Koepka,75,69.956,302.6,58.60,66.98,.445,-.033,.139,.542,.648,1.092,3.07,3.99,4.61,"1,541",7,,2016
9,Steve Stricker,53,69.996,278.0,63.23,63.00,.620,.544,-.003,-.440,.101,.721,3.03,4.01,4.63,815,3,,2016
