,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_ATG,SG_APP,SG_OTT,SG_TTG,SG_T,PAR3,PAR4,PAR5,POINTS,TOP 10,1ST,Year
37,Ryan Moore,89,70.300,287.6,65.75,66.35,.424,-.009,.270,.163,.424,.847,3.06,4.00,4.73,"1,105",8,1,2012
38,Hunter Mahan,88,70.346,293.1,67.74,68.97,-.109,-.122,.372,.400,.650,.541,3.07,4.04,4.75,693,5,2,2012
39,Will Claxton,99,70.369,290.4,65.36,69.06,-.167,-.163,.318,.524,.679,.512,3.09,4.01,4.62,530,2,,2012
40,Ken Duke,104,70.376,282.6,65.69,64.61,.349,-.023,.309,.019,.305,.654,3.05,4.02,4.65,776,6,,2012
41,Pat Perez,81,70.378,291.5,62.33,65.05,.160,.232,.272,.099,.603,.763,3.07,4.03,4.61,"1,073",1,,2012
42,John Huh,99,70.384,288.3,68.69,66.44,.167,-.025,.031,.391,.397,.564,3.05,4.05,4.65,460,4,1,2012
43,Charles Howell III,98,70.385,294.6,54.60,66.61,.054,.270,.257,.098,.625,.679,3.05,4.08,4.55,733,2,,2012
44,Scott Piercy,95,70.409,304.5,56.06,65.73,.221,-.042,.202,.476,.635,.857,3.09,4.02,4.62,483,4,1,2012
45,Greg Chalmers,88,70.417,282.0,62.00,59.83,.506,.459,.012,-.335,.136,.642,3.03,4.07,4.68,"1,402",1,,2012
46,Bob Estes,78,70.418,285.2,60.72,62.39,.074,.347,.396,-.454,.288,.362,3.03,4.05,4.77,"1,058",2,,2012
47,Roberto Castro,92,70.434,290.6,65.36,68.41,.048,.269,.030,.244,.543,.591,3.04,4.03,4.64,772,1,,2012
